index,lat,lon,deg,speed
0,-10.0,110.0,91.5056,7.0
1,-10.0,111.0,87.0056,7.15
2,-10.0,112.0,90.5056,7.5
3,-10.0,113.0,94.0056,7.8
4,-10.0,114.0,100.506,7.45
5,-10.0,115.0,100.006,7.95
6,-10.0,116.0,100.006,8.05
7,-10.0,117.0,102.506,7.6
8,-10.0,118.0,112.506,7.85
9,-10.0,119.0,115.506,9.0
10,-10.0,120.0,113.006,6.35
11,-10.0,121.0,104.506,7.45
12,-10.0,122.0,109.006,8.4
13,-10.0,123.0,114.506,10.75
14,-10.0,124.0,92.0056,8.05
15,-10.0,125.0,92.0056,8.0
16,-10.0,126.0,107.506,7.45
17,-10.0,127.0,116.006,7.55
18,-10.0,128.0,115.006,7.95
19,-10.0,129.0,111.006,9.15
20,-10.0,130.0,109.006,10.3
21,-10.0,131.0,109.506,10.65
22,-10.0,132.0,113.506,11.25
23,-10.0,133.0,118.006,11.8
24,-10.0,134.0,120.006,11.95
25,-10.0,135.0,126.506,12.15
26,-10.0,136.0,125.506,11.45
27,-10.0,137.0,125.506,10.9
28,-10.0,138.0,121.506,10.95
29,-10.0,139.0,117.506,11.05
30,-10.0,140.0,116.006,10.75
31,-10.0,141.0,116.506,10.7
32,-10.0,142.0,122.506,10.6
33,-10.0,143.0,124.506,10.3
34,-10.0,144.0,131.006,9.65
35,-10.0,145.0,128.506,10.05
36,-10.0,146.0,127.006,10.65
37,-10.0,147.0,150.0,5.1
38,-10.0,148.0,113.506,9.4
39,-10.0,149.0,112.506,4.8
40,-10.0,150.0,106.506,1.25
41,-10.0,151.0,135.006,6.2
42,-10.0,152.0,131.006,7.15
43,-10.0,153.0,123.006,7.7
44,-10.0,154.0,98.0056,8.35
45,-10.0,155.0,96.5056,8.55
46,-10.0,156.0,100.506,7.7
47,-10.0,157.0,102.006,7.15
48,-10.0,158.0,105.006,6.75
49,-10.0,159.0,110.006,6.55
50,-10.0,160.0,95.5056,5.7
50,-10.810811,110.0,87.5056,7.25
51,-10.810811,111.0,90.5056,7.05
52,-10.810811,112.0,84.0056,7.0
53,-10.810811,113.0,88.5056,7.7
54,-10.810811,114.0,97.0056,7.85
55,-10.810811,115.0,99.0056,8.3
56,-10.810811,116.0,99.5056,8.15
57,-10.810811,117.0,100.006,7.5
58,-10.810811,118.0,103.006,8.4
59,-10.810811,119.0,103.006,8.85
60,-10.810811,120.0,99.5056,8.7
61,-10.810811,121.0,106.006,8.8
62,-10.810811,122.0,108.506,8.4
63,-10.810811,123.0,100.506,8.75
64,-10.810811,124.0,91.5056,10.1
65,-10.810811,125.0,96.5056,9.35
66,-10.810811,126.0,107.506,8.5
67,-10.810811,127.0,114.006,8.1
68,-10.810811,128.0,116.506,7.8
69,-10.810811,129.0,102.006,7.7
70,-10.810811,130.0,99.0056,8.2
71,-10.810811,131.0,94.5056,8.4
72,-10.810811,132.0,100.506,9.85
73,-10.810811,133.0,112.506,11.25
74,-10.810811,134.0,119.006,11.45
75,-10.810811,135.0,124.006,11.95
76,-10.810811,136.0,127.506,11.65
77,-10.810811,137.0,126.006,11.1
78,-10.810811,138.0,123.506,10.85
79,-10.810811,139.0,122.006,10.6
80,-10.810811,140.0,118.006,10.45
81,-10.810811,141.0,115.506,10.85
82,-10.810811,142.0,130.0,7.2
83,-10.810811,143.0,125.506,10.4
84,-10.810811,144.0,128.006,10.05
85,-10.810811,145.0,126.006,10.55
86,-10.810811,146.0,123.006,10.95
87,-10.810811,147.0,120.506,11.6
88,-10.810811,148.0,115.006,11.5
89,-10.810811,149.0,112.506,11.1
90,-10.810811,150.0,103.506,6.45
91,-10.810811,151.0,126.506,7.2
92,-10.810811,152.0,124.006,8.25
93,-10.810811,153.0,116.506,8.3
94,-10.810811,154.0,98.5056,8.45
95,-10.810811,155.0,97.5056,8.7
96,-10.810811,156.0,100.506,7.8
97,-10.810811,157.0,104.006,7.45
98,-10.810811,158.0,107.006,7.35
99,-10.810811,159.0,108.006,7.45
100,-10.810811,160.0,105.506,4.95
100,-11.621622,110.0,91.0056,7.45
101,-11.621622,111.0,85.5056,6.95
102,-11.621622,112.0,88.0056,5.75
103,-11.621622,113.0,86.0056,7.15
104,-11.621622,114.0,91.5056,8.15
105,-11.621622,115.0,97.5056,8.5
106,-11.621622,116.0,99.0056,8.15
107,-11.621622,117.0,96.0056,7.6
108,-11.621622,118.0,97.0056,8.8
109,-11.621622,119.0,97.5056,8.85
110,-11.621622,120.0,96.5056,8.95
111,-11.621622,121.0,100.006,8.85
112,-11.621622,122.0,101.006,8.75
113,-11.621622,123.0,95.0056,9.65
114,-11.621622,124.0,94.0056,10.05
115,-11.621622,125.0,98.0056,9.95
116,-11.621622,126.0,106.006,9.4
117,-11.621622,127.0,112.006,8.7
118,-11.621622,128.0,113.506,8.6
119,-11.621622,129.0,116.506,7.55
120,-11.621622,130.0,96.5056,6.45
121,-11.621622,131.0,98.0056,5.45
122,-11.621622,132.0,90.0056,6.15
123,-11.621622,133.0,99.0056,9.75
124,-11.621622,134.0,112.006,10.1
125,-11.621622,135.0,127.506,10.0
126,-11.621622,136.0,128.506,11.55
127,-11.621622,137.0,130.506,11.45
128,-11.621622,138.0,128.006,11.25
129,-11.621622,139.0,127.006,10.2
130,-11.621622,140.0,124.506,9.9
131,-11.621622,141.0,117.506,10.4
132,-11.621622,142.0,122.506,9.6
133,-11.621622,143.0,128.506,9.85
134,-11.621622,144.0,129.006,10.7
135,-11.621622,145.0,125.006,11.35
136,-11.621622,146.0,122.006,11.4
137,-11.621622,147.0,116.506,11.3
138,-11.621622,148.0,110.506,10.4
139,-11.621622,149.0,107.006,9.95
140,-11.621622,150.0,110.006,8.55
141,-11.621622,151.0,120.506,8.05
142,-11.621622,152.0,123.006,8.8
143,-11.621622,153.0,115.006,9.2
144,-11.621622,154.0,111.006,7.65
145,-11.621622,155.0,104.506,7.6
146,-11.621622,156.0,99.5056,7.9
147,-11.621622,157.0,104.506,7.75
148,-11.621622,158.0,107.506,7.45
149,-11.621622,159.0,106.006,7.2
150,-11.621622,160.0,112.506,6.4
150,-12.432432,110.0,99.5056,7.7
151,-12.432432,111.0,101.506,6.5
152,-12.432432,112.0,91.0056,5.7
153,-12.432432,113.0,82.5056,6.45
154,-12.432432,114.0,86.5056,8.5
155,-12.432432,115.0,95.5056,7.85
156,-12.432432,116.0,96.0056,7.65
157,-12.432432,117.0,94.5056,8.35
158,-12.432432,118.0,94.0056,8.75
159,-12.432432,119.0,93.5056,8.95
160,-12.432432,120.0,93.5056,8.85
161,-12.432432,121.0,95.0056,8.7
162,-12.432432,122.0,95.0056,8.75
163,-12.432432,123.0,92.5056,9.25
164,-12.432432,124.0,94.0056,9.8
165,-12.432432,125.0,96.5056,10.05
166,-12.432432,126.0,100.506,10.4
167,-12.432432,127.0,108.006,9.25
168,-12.432432,128.0,113.006,8.05
169,-12.432432,129.0,128.506,4.7
170,-12.432432,130.0,57.5056,2.85
171,-12.432432,131.0,120.0,4.6
172,-12.432432,132.0,114.006,6.0
173,-12.432432,133.0,115.506,7.35
174,-12.432432,134.0,116.006,7.9
175,-12.432432,135.0,123.006,8.45
176,-12.432432,136.0,129.006,8.7
177,-12.432432,137.0,140.0,7.2
178,-12.432432,138.0,134.506,11.65
179,-12.432432,139.0,136.506,10.85
180,-12.432432,140.0,134.506,10.7
181,-12.432432,141.0,117.006,9.6
182,-12.432432,142.0,120.0,5.7
183,-12.432432,143.0,126.006,8.25
184,-12.432432,144.0,129.506,12.85
185,-12.432432,145.0,127.006,12.2
186,-12.432432,146.0,123.006,11.5
187,-12.432432,147.0,118.506,10.8
188,-12.432432,148.0,115.006,9.8
189,-12.432432,149.0,111.006,9.65
190,-12.432432,150.0,111.506,9.45
191,-12.432432,151.0,115.506,9.25
192,-12.432432,152.0,119.506,9.5
193,-12.432432,153.0,122.006,9.25
194,-12.432432,154.0,116.006,8.4
195,-12.432432,155.0,119.506,8.05
196,-12.432432,156.0,108.006,7.95
197,-12.432432,157.0,108.006,7.85
198,-12.432432,158.0,109.006,7.6
199,-12.432432,159.0,117.006,6.7
200,-12.432432,160.0,109.006,6.7
200,-13.243243,110.0,100.006,8.45
201,-13.243243,111.0,106.006,7.25
202,-13.243243,112.0,97.5056,6.35
203,-13.243243,113.0,92.0056,6.25
204,-13.243243,114.0,86.5056,8.35
205,-13.243243,115.0,90.0056,7.65
206,-13.243243,116.0,92.0056,7.55
207,-13.243243,117.0,93.0056,8.3
208,-13.243243,118.0,91.0056,8.85
209,-13.243243,119.0,90.5056,8.8
210,-13.243243,120.0,94.0056,8.8
211,-13.243243,121.0,91.5056,8.55
212,-13.243243,122.0,91.0056,8.7
213,-13.243243,123.0,92.5056,9.15
214,-13.243243,124.0,92.0056,9.6
215,-13.243243,125.0,92.5056,9.85
216,-13.243243,126.0,98.0056,10.5
217,-13.243243,127.0,110.506,9.3
218,-13.243243,128.0,120.506,7.5
219,-13.243243,129.0,115.506,5.55
220,-13.243243,130.0,116.006,6.15
221,-13.243243,131.0,115.006,5.95
222,-13.243243,132.0,115.006,6.65
223,-13.243243,133.0,115.506,7.6
224,-13.243243,134.0,118.006,7.7
225,-13.243243,135.0,127.506,8.35
226,-13.243243,136.0,128.006,9.85
227,-13.243243,137.0,132.006,12.15
228,-13.243243,138.0,138.506,11.9
229,-13.243243,139.0,143.506,10.6
230,-13.243243,140.0,142.006,10.05
231,-13.243243,141.0,126.006,8.6
232,-13.243243,142.0,113.006,7.8
233,-13.243243,143.0,118.506,8.6
234,-13.243243,144.0,130.506,14.25
235,-13.243243,145.0,129.506,13.2
236,-13.243243,146.0,126.006,11.75
237,-13.243243,147.0,119.006,11.1
238,-13.243243,148.0,116.506,9.85
239,-13.243243,149.0,115.006,9.3
240,-13.243243,150.0,112.006,9.9
241,-13.243243,151.0,115.006,9.75
242,-13.243243,152.0,117.006,9.95
243,-13.243243,153.0,121.506,9.65
244,-13.243243,154.0,119.006,9.7
245,-13.243243,155.0,119.506,9.25
246,-13.243243,156.0,121.006,7.5
247,-13.243243,157.0,114.006,7.8
248,-13.243243,158.0,112.006,7.6
249,-13.243243,159.0,103.506,6.15
250,-13.243243,160.0,109.506,6.35
250,-14.054054,110.0,91.5056,8.7
251,-14.054054,111.0,100.006,8.05
252,-14.054054,112.0,94.5056,6.7
253,-14.054054,113.0,89.0056,6.85
254,-14.054054,114.0,86.5056,7.95
255,-14.054054,115.0,93.0056,7.45
256,-14.054054,116.0,93.5056,7.5
257,-14.054054,117.0,89.5056,7.85
258,-14.054054,118.0,89.5056,8.45
259,-14.054054,119.0,90.0056,8.65
260,-14.054054,120.0,95.0056,8.5
261,-14.054054,121.0,89.0056,8.25
262,-14.054054,122.0,85.5056,8.35
263,-14.054054,123.0,85.0056,8.6
264,-14.054054,124.0,80.5056,8.85
265,-14.054054,125.0,78.0056,9.2
266,-14.054054,126.0,78.0056,9.4
267,-14.054054,127.0,109.506,8.5
268,-14.054054,128.0,123.506,8.45
269,-14.054054,129.0,121.506,3.95
270,-14.054054,130.0,109.006,6.3
271,-14.054054,131.0,113.506,6.4
272,-14.054054,132.0,130.0,6.7
273,-14.054054,133.0,111.006,7.6
274,-14.054054,134.0,113.506,7.55
275,-14.054054,135.0,123.506,9.15
276,-14.054054,136.0,129.006,10.85
277,-14.054054,137.0,132.506,11.3
278,-14.054054,138.0,138.006,12.0
279,-14.054054,139.0,146.006,10.9
280,-14.054054,140.0,149.006,10.3
281,-14.054054,141.0,139.506,7.7
282,-14.054054,142.0,116.006,6.8
283,-14.054054,143.0,116.506,7.7
284,-14.054054,144.0,127.006,13.3
285,-14.054054,145.0,134.006,14.35
286,-14.054054,146.0,131.006,12.9
287,-14.054054,147.0,122.006,11.9
288,-14.054054,148.0,118.506,10.5
289,-14.054054,149.0,118.006,9.8
290,-14.054054,150.0,111.006,10.25
291,-14.054054,151.0,112.506,10.5
292,-14.054054,152.0,116.506,10.3
293,-14.054054,153.0,119.006,10.05
294,-14.054054,154.0,117.006,9.55
295,-14.054054,155.0,118.506,9.4
296,-14.054054,156.0,118.006,6.4
297,-14.054054,157.0,115.506,8.0
298,-14.054054,158.0,116.506,7.35
299,-14.054054,159.0,114.006,7.35
300,-14.054054,160.0,111.006,6.5
300,-14.864864,110.0,97.0056,7.95
301,-14.864864,111.0,86.0056,6.8
302,-14.864864,112.0,78.5056,6.65
303,-14.864864,113.0,84.5056,7.9
304,-14.864864,114.0,86.0056,7.75
305,-14.864864,115.0,92.5056,7.4
306,-14.864864,116.0,93.0056,7.15
307,-14.864864,117.0,91.0056,6.45
308,-14.864864,118.0,89.5056,6.65
309,-14.864864,119.0,87.5056,7.2
310,-14.864864,120.0,90.0056,8.2
311,-14.864864,121.0,83.5056,7.7
312,-14.864864,122.0,78.0056,7.9
313,-14.864864,123.0,68.0056,7.05
314,-14.864864,124.0,34.0056,4.0
315,-14.864864,125.0,34.5056,2.5
316,-14.864864,126.0,95.0056,4.7
317,-14.864864,127.0,99.5056,5.45
318,-14.864864,128.0,102.006,5.0
319,-14.864864,129.0,120.506,6.1
320,-14.864864,130.0,115.006,5.9
321,-14.864864,131.0,112.006,6.0
322,-14.864864,132.0,130.0,6.7
323,-14.864864,133.0,111.506,6.2
324,-14.864864,134.0,106.006,5.9
325,-14.864864,135.0,96.5056,7.0
326,-14.864864,136.0,114.506,11.7
327,-14.864864,137.0,124.006,12.25
328,-14.864864,138.0,135.506,11.65
329,-14.864864,139.0,142.006,10.7
330,-14.864864,140.0,150.006,10.05
331,-14.864864,141.0,167.506,7.7
332,-14.864864,142.0,128.506,4.1
333,-14.864864,143.0,104.006,5.65
334,-14.864864,144.0,114.006,8.1
335,-14.864864,145.0,139.506,8.4
336,-14.864864,146.0,141.006,14.35
337,-14.864864,147.0,137.506,13.35
338,-14.864864,148.0,134.506,12.75
339,-14.864864,149.0,130.506,10.7
340,-14.864864,150.0,114.506,10.65
341,-14.864864,151.0,116.006,10.9
342,-14.864864,152.0,118.506,10.9
343,-14.864864,153.0,123.506,10.05
344,-14.864864,154.0,123.506,9.75
345,-14.864864,155.0,124.006,9.65
346,-14.864864,156.0,126.506,9.3
347,-14.864864,157.0,125.006,8.6
348,-14.864864,158.0,123.006,7.9
349,-14.864864,159.0,121.506,6.9
350,-14.864864,160.0,120.006,6.5
350,-15.675676,110.0,103.506,7.95
351,-15.675676,111.0,89.5056,6.5
352,-15.675676,112.0,89.0056,6.8
353,-15.675676,113.0,83.5056,7.7
354,-15.675676,114.0,84.0056,7.5
355,-15.675676,115.0,91.5056,7.05
356,-15.675676,116.0,93.0056,6.75
357,-15.675676,117.0,95.0056,5.75
358,-15.675676,118.0,89.0056,5.5
359,-15.675676,119.0,81.5056,5.8
360,-15.675676,120.0,82.5056,7.8
361,-15.675676,121.0,82.5056,7.45
362,-15.675676,122.0,78.0056,7.25
363,-15.675676,123.0,70.5056,4.1
364,-15.675676,124.0,20.0056,2.05
365,-15.675676,125.0,80.0056,2.55
366,-15.675676,126.0,95.5056,4.65
367,-15.675676,127.0,100.006,5.15
368,-15.675676,128.0,105.506,4.95
369,-15.675676,129.0,120.0,6.7
370,-15.675676,130.0,117.506,6.3
371,-15.675676,131.0,119.506,5.95
372,-15.675676,132.0,116.006,6.2
373,-15.675676,133.0,114.006,6.1
374,-15.675676,134.0,115.506,5.8
375,-15.675676,135.0,110.506,5.75
376,-15.675676,136.0,104.506,7.3
377,-15.675676,137.0,110.506,9.9
378,-15.675676,138.0,132.006,11.9
379,-15.675676,139.0,142.506,11.05
380,-15.675676,140.0,149.506,9.9
381,-15.675676,141.0,156.506,7.2
382,-15.675676,142.0,148.006,4.5
383,-15.675676,143.0,123.506,3.85
384,-15.675676,144.0,102.506,6.65
385,-15.675676,145.0,135.506,7.35
386,-15.675676,146.0,141.506,13.9
387,-15.675676,147.0,139.506,13.15
388,-15.675676,148.0,139.506,13.35
389,-15.675676,149.0,139.006,12.6
390,-15.675676,150.0,123.506,10.95
391,-15.675676,151.0,122.006,11.95
392,-15.675676,152.0,125.006,11.85
393,-15.675676,153.0,124.006,10.65
394,-15.675676,154.0,126.506,10.25
395,-15.675676,155.0,127.006,10.15
396,-15.675676,156.0,127.006,9.5
397,-15.675676,157.0,128.006,8.65
398,-15.675676,158.0,128.006,8.15
399,-15.675676,159.0,127.006,7.0
400,-15.675676,160.0,121.506,6.1
400,-16.486486,110.0,92.5056,7.8
401,-16.486486,111.0,97.5056,7.85
402,-16.486486,112.0,104.006,7.0
403,-16.486486,113.0,92.5056,7.05
404,-16.486486,114.0,84.0056,7.35
405,-16.486486,115.0,89.5056,6.7
406,-16.486486,116.0,93.0056,6.25
407,-16.486486,117.0,95.5056,5.45
408,-16.486486,118.0,85.0056,4.75
409,-16.486486,119.0,76.0056,4.8
410,-16.486486,120.0,70.5056,7.6
411,-16.486486,121.0,80.5056,7.0
412,-16.486486,122.0,85.0056,5.7
413,-16.486486,123.0,133.006,1.15
414,-16.486486,124.0,289.006,1.15
415,-16.486486,125.0,92.5056,2.4
416,-16.486486,126.0,91.0056,4.65
417,-16.486486,127.0,97.5056,5.5
418,-16.486486,128.0,103.006,5.6
419,-16.486486,129.0,108.006,6.25
420,-16.486486,130.0,112.506,6.45
421,-16.486486,131.0,116.506,6.1
422,-16.486486,132.0,118.006,6.7
423,-16.486486,133.0,123.006,6.35
424,-16.486486,134.0,123.506,6.1
425,-16.486486,135.0,121.006,5.65
426,-16.486486,136.0,120.506,5.9
427,-16.486486,137.0,120.506,6.15
428,-16.486486,138.0,124.006,8.85
429,-16.486486,139.0,145.006,10.45
430,-16.486486,140.0,150.006,9.7
431,-16.486486,141.0,146.506,5.9
432,-16.486486,142.0,149.006,4.55
433,-16.486486,143.0,149.006,4.2
434,-16.486486,144.0,112.006,5.75
435,-16.486486,145.0,128.006,3.05
436,-16.486486,146.0,150.0,6.2
437,-16.486486,147.0,138.506,12.45
438,-16.486486,148.0,138.006,12.9
439,-16.486486,149.0,140.506,12.9
440,-16.486486,150.0,132.506,12.5
441,-16.486486,151.0,126.506,12.0
442,-16.486486,152.0,128.506,11.75
443,-16.486486,153.0,131.006,11.05
444,-16.486486,154.0,130.506,10.55
445,-16.486486,155.0,130.506,10.2
446,-16.486486,156.0,130.006,9.5
447,-16.486486,157.0,130.506,9.05
448,-16.486486,158.0,133.506,8.7
449,-16.486486,159.0,131.506,7.65
450,-16.486486,160.0,130.006,6.1
450,-17.297298,110.0,93.5056,7.95
451,-17.297298,111.0,95.0056,7.9
452,-17.297298,112.0,96.5056,7.1
453,-17.297298,113.0,96.5056,7.5
454,-17.297298,114.0,91.5056,7.05
455,-17.297298,115.0,89.0056,6.6
456,-17.297298,116.0,92.5056,6.45
457,-17.297298,117.0,90.0056,5.8
458,-17.297298,118.0,76.5007,7.88
459,-17.297298,119.0,72.0056,7.0
460,-17.297298,120.0,86.5056,7.4
461,-17.297298,121.0,80.5056,6.0
462,-17.297298,122.0,75.5056,3.65
463,-17.297298,123.0,115.006,2.75
464,-17.297298,124.0,150.0,4.1
465,-17.297298,125.0,103.506,3.7
466,-17.297298,126.0,92.0056,4.1
467,-17.297298,127.0,90.0056,5.35
468,-17.297298,128.0,95.5056,5.55
469,-17.297298,129.0,104.006,5.9
470,-17.297298,130.0,110.006,6.45
471,-17.297298,131.0,111.506,6.55
472,-17.297298,132.0,109.006,7.05
473,-17.297298,133.0,117.006,7.8
474,-17.297298,134.0,122.506,8.15
475,-17.297298,135.0,134.006,7.5
476,-17.297298,136.0,133.006,6.55
477,-17.297298,137.0,131.006,6.7
478,-17.297298,138.0,136.506,7.0
479,-17.297298,139.0,152.006,7.7
480,-17.297298,140.0,160.506,8.65
481,-17.297298,141.0,151.506,4.05
482,-17.297298,142.0,129.006,4.1
483,-17.297298,143.0,137.506,4.1
484,-17.297298,144.0,115.506,5.15
485,-17.297298,145.0,117.506,6.1
486,-17.297298,146.0,150.0,6.2
487,-17.297298,147.0,137.006,11.4
488,-17.297298,148.0,130.006,11.5
489,-17.297298,149.0,128.006,11.45
490,-17.297298,150.0,132.006,10.85
491,-17.297298,151.0,131.006,10.85
492,-17.297298,152.0,128.006,10.9
493,-17.297298,153.0,129.506,10.5
494,-17.297298,154.0,136.006,10.3
495,-17.297298,155.0,136.006,9.95
496,-17.297298,156.0,135.506,8.9
497,-17.297298,157.0,135.006,8.5
498,-17.297298,158.0,136.006,8.3
499,-17.297298,159.0,139.506,7.7
500,-17.297298,160.0,139.006,7.5
500,-18.108109,110.0,99.0056,7.55
501,-18.108109,111.0,98.5056,7.95
502,-18.108109,112.0,98.0056,7.25
503,-18.108109,113.0,96.5056,7.25
504,-18.108109,114.0,90.5056,6.6
505,-18.108109,115.0,89.5056,6.8
506,-18.108109,116.0,92.0056,6.7
507,-18.108109,117.0,85.5056,6.7
508,-18.108109,118.0,78.0056,7.9
509,-18.108109,119.0,80.5056,8.3
510,-18.108109,120.0,83.5056,7.7
511,-18.108109,121.0,89.5056,5.95
512,-18.108109,122.0,110.0,4.1
513,-18.108109,123.0,101.506,4.1
514,-18.108109,124.0,150.0,4.1
515,-18.108109,125.0,106.006,4.25
516,-18.108109,126.0,98.5056,4.75
517,-18.108109,127.0,90.0056,5.75
518,-18.108109,128.0,92.0056,5.7
519,-18.108109,129.0,100.506,6.45
520,-18.108109,130.0,110.006,6.55
521,-18.108109,131.0,113.006,6.25
522,-18.108109,132.0,109.506,6.6
523,-18.108109,133.0,110.506,7.5
524,-18.108109,134.0,116.506,8.2
525,-18.108109,135.0,130.006,8.35
526,-18.108109,136.0,139.006,7.45
527,-18.108109,137.0,137.006,6.7
528,-18.108109,138.0,133.506,6.15
529,-18.108109,139.0,143.506,7.0
530,-18.108109,140.0,152.006,6.95
531,-18.108109,141.0,164.006,5.5
532,-18.108109,142.0,117.506,4.0
533,-18.108109,143.0,120.006,4.1
534,-18.108109,144.0,117.506,5.4
535,-18.108109,145.0,105.506,5.5
536,-18.108109,146.0,126.506,2.35
537,-18.108109,147.0,135.506,10.65
538,-18.108109,148.0,132.006,11.15
539,-18.108109,149.0,129.506,11.2
540,-18.108109,150.0,130.006,10.75
541,-18.108109,151.0,132.506,10.85
542,-18.108109,152.0,132.506,10.75
543,-18.108109,153.0,132.506,10.15
544,-18.108109,154.0,134.506,9.95
545,-18.108109,155.0,137.506,9.65
546,-18.108109,156.0,137.506,8.6
547,-18.108109,157.0,135.506,8.05
548,-18.108109,158.0,135.006,7.9
549,-18.108109,159.0,139.506,7.2
550,-18.108109,160.0,140.506,7.5
550,-18.918919,110.0,96.5056,8.85
551,-18.918919,111.0,98.0056,7.95
552,-18.918919,112.0,101.506,6.95
553,-18.918919,113.0,99.5056,6.8
554,-18.918919,114.0,92.5056,6.6
555,-18.918919,115.0,89.5056,7.45
556,-18.918919,116.0,88.5056,7.8
557,-18.918919,117.0,84.5056,8.9
558,-18.918919,118.0,82.5056,9.65
559,-18.918919,119.0,83.5056,9.4
560,-18.918919,120.0,85.0056,7.35
561,-18.918919,121.0,92.5056,4.85
562,-18.918919,122.0,88.0056,4.85
563,-18.918919,123.0,88.0056,5.4
564,-18.918919,124.0,96.5056,5.0
565,-18.918919,125.0,98.5056,4.75
566,-18.918919,126.0,98.0056,5.35
567,-18.918919,127.0,95.5056,6.05
568,-18.918919,128.0,96.0056,6.25
569,-18.918919,129.0,102.006,6.65
570,-18.918919,130.0,108.006,6.5
571,-18.918919,131.0,110.006,6.45
572,-18.918919,132.0,112.006,6.9
573,-18.918919,133.0,116.506,7.2
574,-18.918919,134.0,119.006,7.35
575,-18.918919,135.0,128.006,7.35
576,-18.918919,136.0,133.506,7.95
577,-18.918919,137.0,143.006,7.8
578,-18.918919,138.0,142.506,6.15
579,-18.918919,139.0,136.006,6.7
580,-18.918919,140.0,139.506,7.0
581,-18.918919,141.0,146.506,8.25
582,-18.918919,142.0,147.006,7.3
583,-18.918919,143.0,146.006,6.15
584,-18.918919,144.0,114.506,5.7
585,-18.918919,145.0,136.506,5.0
586,-18.918919,146.0,134.506,3.5
587,-18.918919,147.0,90.0,5.1
588,-18.918919,148.0,133.506,11.05
589,-18.918919,149.0,132.006,10.9
590,-18.918919,150.0,135.006,10.75
591,-18.918919,151.0,137.006,10.3
592,-18.918919,152.0,136.006,10.0
593,-18.918919,153.0,139.006,9.65
594,-18.918919,154.0,140.506,9.4
595,-18.918919,155.0,140.006,9.0
596,-18.918919,156.0,142.006,8.05
597,-18.918919,157.0,139.006,8.0
598,-18.918919,158.0,137.506,7.75
599,-18.918919,159.0,137.006,7.05
600,-18.918919,160.0,137.506,6.7
600,-19.729729,110.0,98.0056,8.6
601,-19.729729,111.0,103.506,7.9
602,-19.729729,112.0,103.006,7.15
603,-19.729729,113.0,101.006,7.1
604,-19.729729,114.0,97.5056,7.15
605,-19.729729,115.0,94.0056,8.25
606,-19.729729,116.0,91.5056,8.4
607,-19.729729,117.0,82.0056,9.05
608,-19.729729,118.0,74.0056,9.4
609,-19.729729,119.0,73.0056,8.45
610,-19.729729,120.0,83.5056,6.05
611,-19.729729,121.0,90.0056,5.1
612,-19.729729,122.0,87.0056,5.2
613,-19.729729,123.0,85.5056,5.7
614,-19.729729,124.0,90.5056,5.7
